"ID","Title","Estimate","Expected Result","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Type","Updated By","Updated On"
"C38","Логин - Email  с точкой перед адресом","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с точкой перед адресом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:20 PM"
"C37","Логин - Email  с точкой перед @","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с точкой перед @","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:20 PM"
"C36","Логин - Email с двумя точками подряд в адресе","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с двумя точками подряд в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:20 PM"
"C35","Логин - Email с двумя точками подряд в домене","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с двумя точками подряд в домене","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:21 PM"
"C32","Логин - Email  с не латинскими буквами в адресе","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с не латинскими буквами в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:21 PM"
"C33","Логин - Email  с точкой перед доменом","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с точкой перед доменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:22 PM"
"C41","Логин - Email  со знаком “-” перед доменом","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email со знаком “-” перед доменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:22 PM"
"C42","Логин - Email со знаками из группы < > ( ) [ ] @ , ; : \ / "" * в адресе","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email со знаками из группы &lt; &gt; ( ) [ ] @ , ; : \ / "" * в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:23 PM"
"C45","Логин - Email  с пробелом в середине адреса","","Валидация не пройдена. Собщение об ошибке в поле Логин","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с пробелом в середине адреса","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:26 PM"
"C43","Логин - Email  с пробелом в начале адреса","","1. Валидация не пройдена. Собщение об ошибке в поле Логин
2. Лишний пробел удаляется системой. Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с пробелом в начале адреса","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:02 PM"
"C46","Логин - Email  с пробелом в конце адреса","","1. Валидация не пройдена. Собщение об ошибке в поле Логин
2. Лишний пробел удаляется системой. Валидация пройдена","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного email","3","","Главная страница платформы > Форма авторизации > Поле ввода Логин > Ввод невалидного email","","1 Ввести в поле Логин Email с пробелом в конце адреса","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:02 PM"
"C51","Наличие поля ввода Пароль","","Поле ввода отображается","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","Critical","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Найти поле ввода Пароль
2. Проверить наличие поля ввода Пароль","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:54 PM"
"C52","Наличие плейсхолдера поля Пароль","","Плейсхолдер отображается и не имеет орфографических ошибок","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","High","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Найти поле ввода Пароль
2. Проверить наличие плейсхолдера
3. Проверить орфографию плейсхолдера","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:55 PM"
"C70","Ховер эффект поля ввода Пароль","","Указатель мыши меняется на ""Курсор""","1. Найти элемент","Low","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Навести курсор на поле ввода Пароль","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:10 PM"
"C53","Максимальное количество символов для поля Пароль","","Полее ввода логин не меняет свое местоположение относительно формы авторизации.
Не перекрывает другие поля формы","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","High","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Ввести в поле Пароль не мене 500 символов","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 2:55 PM"
"C54","Минимальное количество символов для поля Пароль","","Валидация не проходит","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","High","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Ввести в поле Пароль от 1 до 8 символов","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:08 PM"
"C60","Вводимый пароль скрыт астерисками","","Пароль скрыт астерисками","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","Medium","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Найти поле ввода Пароль
2. Ввести пароль","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:18 PM"
"C55","Наличие кнопки раскрытия пароля в поле ввода Пароль","","Пароль отображается","1.Запустить браузер Chrom
2.Перейти по ссылке https://qa.neapro.site


","Medium","","Поле ввода Пароль","2","","Главная страница платформы > Форма авторизации > Поле ввода Пароль","","1. Найти поле ввода Пароль
2. Проверить наличие кнопки раскрытия пароля в виде ""Глаза""
3. Нажать на кнопку раскрытия пароля","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:17 PM"
"C56","Пароль только из цифр","","Валидация не пройдена. Собщение об ошибке в поле Пароль","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного пароля","3","","Главная страница платформы > Форма авторизации > Поле ввода Пароль > Ввод невалидного пароля","","1 Ввести пароль только из цифр","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:12 PM"
"C57","Пароль только из латинских букв в нижнем регистре","","Валидация не пройдена. Собщение об ошибке в поле Пароль","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного пароля","3","","Главная страница платформы > Форма авторизации > Поле ввода Пароль > Ввод невалидного пароля","","1 Ввести пароль только из латинских букв в нижнем регистре","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:13 PM"
"C58","Пароль с цифрами и латинскими буквами в Верхнем регистре","","Валидация не пройдена. Собщение об ошибке в поле Пароль","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного пароля","3","","Главная страница платформы > Форма авторизации > Поле ввода Пароль > Ввод невалидного пароля","","1 Ввести пароль с цифрами и латинскими буквами в Верхнем регистре","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:15 PM"
"C61","Пароль содержащий буквы не латинского алфавита","","Валидация не пройдена. Собщение об ошибке в поле Пароль","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного пароля","3","","Главная страница платформы > Форма авторизации > Поле ввода Пароль > Ввод невалидного пароля","","1 Ввести пароль содержащий буквы не латинского алфавита и цифры","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:24 PM"
"C59","Пароль со знаками из группы < > ( ) [ ] @ , ; : \ / "" *","","Валидация не пройдена. Собщение об ошибке в поле Пароль","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного пароля","3","","Главная страница платформы > Форма авторизации > Поле ввода Пароль > Ввод невалидного пароля","","1 Ввести пароль со знаками из группы &lt; &gt; ( ) [ ] @ , ; : \ / "" * ","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:20 PM"
"C27","Пароль со знаками ! # $ % & ’r; + - . = ? ^^ _ ` { } ½ ~","","Валидация пройдена. Сообщение об ошибке","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Medium","","Ввод невалидного пароля","3","","Главная страница платформы > Форма авторизации > Поле ввода Пароль > Ввод невалидного пароля","","1 Ввести пароль со знаками ! # $ % & ’r; + - . = ? ^^ _ ` { } ½ ~ ","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:21 PM"
"C64","Наличие кнопки Войти","","Кнопка есть","1.Запустить браузер Chrom 
2.Вставить ссылку https://qa.neapro.site 
3.Открыть DevTools","Medium","","Кнопка Войти","2","","Главная страница платформы > Форма авторизации > Кнопка Войти","","1. Найти элемент кнопка Войти
2. Проверить наличие кнопки Войти","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:13 PM"
"C65","Правописание кнопки Войти","","Наименование кнопки указано верно и не имеет орфографических ошибок","1. Найти элемент","Medium","","Кнопка Войти","2","","Главная страница платформы > Форма авторизации > Кнопка Войти","","1. Проверить правописание кнопки Войти","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:51 PM"
"C69","Ховер эффект кнопки Войти","","Курсор мыши меняется на ""Рука""","1. Найти элемент","Low","","Кнопка Войти","2","","Главная страница платформы > Форма авторизации > Кнопка Войти","","1. Навести курсор на кнопку Войти","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:10 PM"
"C66","Наличие ссылки Забыли пароль?","","Ссылка отображается","1.Запустить браузер Chrom 
2.Вставить ссылку https://qa.neapro.site 
3.Открыть DevTools","Medium","","Ссылка ""Забыли пароль?","1","","Главная страница платформы > Ссылка ""Забыли пароль?","","1. Найти элемент ссылка Забыли пароль?
2. Проверить наличие ссылки Забыли пароль?","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:58 PM"
"C67","Правописание ссылки Забыли пароль?","","Наименование ссылки указано верно и не имеет орфографических ошибок","1. Найти элемент","Medium","","Ссылка ""Забыли пароль?","1","","Главная страница платформы > Ссылка ""Забыли пароль?","","1. Проверить правописание ссылки Забыли пароль?","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 3:58 PM"
"C68","Ховер эффект ссылки Забыли пароль?","","Текст ""Забыли пароль?"" становится подчеркнутым, курсор мыши меняется на ""Рука""","1. Найти элемент","Low","","Ссылка ""Забыли пароль?","1","","Главная страница платформы > Ссылка ""Забыли пароль?","","1. Навести курсор на ссылку Забыли пароль?","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:09 PM"
"C73","Наличие кнопки Войти","","Загаловок есть","1.Запустить браузер Chrom 
2.Вставить ссылку https://qa.neapro.site 
3.Открыть DevTools","Medium","","Форма Сбросить пароль","2","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль","","1. Найти элемент загаловок формы авторизации
2. Проверить наличие ""Заголовка""","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:32 PM"
"C74","Правописание кнопки Войти","","Наименование кнопки указано верно и не имеет орфографических ошибок","1. Найти элемент","Medium","","Форма Сбросить пароль","2","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль","","1. Проверить правописание кнопки Войти","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:32 PM"
"C75","Наличие загаловка формы Сброс пароля","","Загаловок есть","1.Перейти по ссылке Забыли пароль? 
2. Открыть DevTools","Medium","","Загаловок формы Сбросить пароль","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Загаловок формы Сбросить пароль","","1. Найти элемент загаловок Сброс пароля
2. Проверить наличие загаловка","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:36 PM"
"C76","Правописание загаловка Сбросить пароль","","Наименование загаловка указано верно и не имеет орфографических ошибок","1.Перейти по ссылке Забыли пароль? 
","Medium","","Загаловок формы Сбросить пароль","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Загаловок формы Сбросить пароль","","1. Проверить правописание загаловка","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:37 PM"
"C77","Наличие поля Email","","Поле ввода отображается","1. Перейти по ссылке Забыли пароль?
2. Открыть DevTools

","High","","Поле ввода email","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email","","1. Найти поле ввода Email
2. Проверить наличие поля ввода Email","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:41 PM"
"C78","Ховер эффект поля ввода Email","","Указатель мыши меняется на ""Курсор""","1. Перейти по ссылке Забыли пароль?","Low","","Поле ввода email","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email","","1. Навести курсор на поле ввода Email","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:42 PM"
"C80","Наличие плейсхолдера поля Email","","Плейсхолдер отображается и не имеет орфографических ошибок","1.Перейти по ссылке Забыли пароль? 


","High","","Поле ввода email","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email","","1. Найти поле ввода Email
2. Проверить наличие плейсхолдера
3. Проверить орфографию плейсхолдера","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:44 PM"
"C79","Максимальное количество символов для поля Email","","Полее ввода Email не меняет свое местоположение относительно формы Смена пароля.
Не перекрывает другие элементы формы","1.Перейти по ссылке Забыли пароль? 


","High","","Поле ввода email","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email","","1. Ввести в поле Email не мене 500 символов","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:46 PM"
"C102","Ввод email cуществующего пользователя","","Отправка письма на указанный email ","1.Запустить браузер Chrom 
2. Перейти в админ-панель сайта
3. Заблокировать пользователя
4. Перейти по ссылке Забыли пароль? ","Medium","","Поле ввода email","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email","","1. Ввести валидный email 
2. Нажать кнопку Продолжить","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:07 PM"
"C101","Ввод email cуществующего пользователя заблокированого модерацией","","Отправка письма на указанный email заблокирована. Сообщение об ошибке","1.Запустить браузер Chrom 
2. Перейти в админ-панель сайта
3. Заблокировать пользователя
4. Перейти по ссылке Забыли пароль? ","Medium","","Поле ввода email","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email","","1. Ввести валидный email 
2. Нажать кнопку Продолжить","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:06 PM"
"C81","Email  с точкой в адресе","","Валидация пройдена","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод валидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод валидного Email","","1 Ввести в поле Email  точкой в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:52 PM"
"C82","Email  с субдоменом","","Валидация пройдена","1. Перейти по ссылке Забыли пароль? ","Medium","","Ввод валидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод валидного Email","","1 Ввести в поле Email  с субдоменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:52 PM"
"C83","Email  цифровым доменом","","Валидация пройдена","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод валидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод валидного Email","","1 Ввести в поле Email  с цифровым доменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:53 PM"
"C84","Email с цифровым адресом","","Валидация пройдена","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод валидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод валидного Email","","1 Ввести в поле Email с цифровым адресом ","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:53 PM"
"C85","Email  с знаком ""-"" в домене","","Валидация пройдена","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод валидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод валидного Email","","1 Ввести в поле Email  с знаком ""-"" в домене","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:53 PM"
"C86","Email  без домена","","Валидация не пройдена. Собщение об ошибке","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email без домена","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:58 PM"
"C87","Email  без @","","Валидация не пройдена. Собщение об ошибке ","1. Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1. Ввести в поле Email без @","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:58 PM"
"C88","Email с @@","","Валидация не пройдена. Собщение об ошибке","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с @@","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:58 PM"
"C89","Email  с пропущеным адресом","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с пропущеным адресом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:58 PM"
"C90","Email  с точкой перед адресом","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с точкой перед адресом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:59 PM"
